Year	month	mo	mumps
1938	Aug	8	178	
1938	Sep	9	85	
1938	Oct	10	115	
1938	Nov	11	122	
1938	Dec	12	179	
1939	Jan	1	266	
1939	Feb	2	326	
1939	Mar	3	454	
1939	Apr	4	510	
1939	May	5	555	
1939	Jun	6	531	
1939	Jul	7	358	
1939	Aug	8	177	
1939	Sep	9	131	
1939	Oct	10	189	
1939	Nov	11	262	
1939	Dec	12	398	
1940	Jan	1	662	
1940	Feb	2	733	
1940	Mar	3	941	
1940	Apr	4	1229	
1940	May	5	1485	
1940	Jun	6	1406	
1940	Jul	7	959	
1940	Aug	8	436	
1940	Sep	9	233	
1940	Oct	10	221	
1940	Nov	11	391	
1940	Dec	12	696	
1941	Jan	1	930	
1941	Feb	2	899	
1941	Mar	3	1261	
1941	Apr	4	1245	
1941	May	5	847	
1941	Jun	6	626	
1941	Jul	7	348	
1941	Aug	8	168	
1941	Sep	9	132	
1941	Oct	10	142	
1941	Nov	11	201	
1941	Dec	12	399	
1942	Jan	1	569	
1942	Feb	2	651	
1942	Mar	3	1024	
1942	Apr	4	1272	
1942	May	5	1258	
1942	Jun	6	960	
1942	Jul	7	445	
1942	Aug	8	201	
1942	Sep	9	138	
1942	Oct	10	117	
1942	Nov	11	162	
1942	Dec	12	272	
1943	Jan	1	395	
1943	Feb	2	552	
1943	Mar	3	926	
1943	Apr	4	1062	
1943	May	5	1070	
1943	Jun	6	846	
1943	Jul	7	355	
1943	Aug	8	172	
1943	Sep	9	109	
1943	Oct	10	94	
1943	Nov	11	184	
1943	Dec	12	245	
1944	Jan	1	324	
1944	Feb	2	433	
1944	Mar	3	752	
1944	Apr	4	845	
1944	May	5	859	
1944	Jun	6	671	
1944	Jul	7	275	
1944	Aug	8	134	
1944	Sep	9	75	
1944	Oct	10	104	
1944	Nov	11	161	
1944	Dec	12	237	
1945	Jan	1	330	
1945	Feb	2	467	
1945	Mar	3	707	
1945	Apr	4	667	
1945	May	5	711	
1945	Jun	6	793	
1945	Jul	7	429	
1945	Aug	8	211	
1945	Sep	9	140	
1945	Oct	10	207	
1945	Nov	11	251	
1945	Dec	12	289	
1946	Jan	1	433	
1946	Feb	2	468	
1946	Mar	3	799	
1946	Apr	4	1138	
1946	May	5	1048	
1946	Jun	6	710	
1946	Jul	7	438	
1946	Aug	8	178	
1946	Sep	9	114	
1946	Oct	10	118	
1946	Nov	11	175	
1946	Dec	12	206	
1947	Jan	1	412	
1947	Feb	2	477	
1947	Mar	3	641	
1947	Apr	4	814	
1947	May	5	846	
1947	Jun	6	883	
1947	Jul	7	591	
1947	Aug	8	208	
1947	Sep	9	177	
1947	Oct	10	221	
1947	Nov	11	311	
1947	Dec	12	680	
1948	Jan	1	1105	
1948	Feb	2	1490	
1948	Mar	3	1956	
1948	Apr	4	1713	
1948	May	5	1291	
1948	Jun	6	1053	
1948	Jul	7	366	
1948	Aug	8	153	
1948	Sep	9	95	
1948	Oct	10	117	
1948	Nov	11	130	
1948	Dec	12	183	
1949	Jan	1	312	
1949	Feb	2	417	
1949	Mar	3	596	
1949	Apr	4	554	
1949	May	5	510	
1949	Jun	6	527	
1949	Jul	7	290	
1949	Aug	8	162	
1949	Sep	9	96	
1949	Oct	10	97	
1949	Nov	11	191	
1949	Dec	12	353	
1950	Jan	1	604	
1950	Feb	2	767	
1950	Mar	3	1116	
1950	Apr	4	1103	
1950	May	5	1330	
1950	Jun	6	1342	
1950	Jul	7	670	
1950	Aug	8	319	
1950	Sep	9	167	
1950	Oct	10	176	
1950	Nov	11	261	
1950	Dec	12	363	
1951	Jan	1	616	
1951	Feb	2	634	
1951	Mar	3	808	
1951	Apr	4	902	
1951	May	5	1003	
1951	Jun	6	833	
1951	Jul	7	475	
1951	Aug	8	243	
1951	Sep	9	167	
1951	Oct	10	152	
1951	Nov	11	182	
1951	Dec	12	279	
1952	Jan	1	520	
1952	Feb	2	615	
1952	Mar	3	745	
1952	Apr	4	838	
1952	May	5	787	
1952	Jun	6	827	
1952	Jul	7	570	
1952	Aug	8	254	
1952	Sep	9	182	
1952	Oct	10	185	
1952	Nov	11	268	
1952	Dec	12	530	
1953	Jan	1	813	
1953	Feb	2	785	
1953	Mar	3	1266	
1953	Apr	4	1495	
1953	May	5	1659	
1953	Jun	6	1532	
1953	Jul	7	1071	
1953	Aug	8	458	
1953	Sep	9	265	
1953	Oct	10	230	
1953	Nov	11	299	
1953	Dec	12	634	
1954	Jan	1	802	
1954	Feb	2	945	
1954	Mar	3	1220	
1954	Apr	4	1088	
1954	May	5	792	
1954	Jun	6	707	
1954	Jul	7	420	
1954	Aug	8	199	
1954	Sep	9	134	
1954	Oct	10	123	
1954	Nov	11	176	
1954	Dec	12	284	
1955	Jan	1	371	
1955	Feb	2	491	
1955	Mar	3	851	
1955	Apr	4	923	
1955	May	5	882	
1955	Jun	6	945	
1955	Jul	7	561	
1955	Aug	8	324	
1955	Sep	9	205	
1955	Oct	10	225	
1955	Nov	11	470	
1955	Dec	12	657	
1956	Jan	1	1066	
1956	Feb	2	1371	
1956	Mar	3	1674	
1956	Apr	4	1844	
1956	May	5	1819	
1956	Jun	6	1469	
1956	Jul	7	769	
1956	Aug	8	393	
1956	Sep	9	176	
1956	Oct	10	240	
1956	Nov	11	299	
1956	Dec	12	375	
1957	Jan	1	584	
1957	Feb	2	490	
1957	Mar	3	702	
1957	Apr	4	769	
1957	May	5	765	
1957	Jun	6	601	
1957	Jul	7	389	
1957	Aug	8	217	
1957	Sep	9	165	
1957	Oct	10	120	
1957	Nov	11	137	
1957	Dec	12	204	
1958	Jan	1	288	
1958	Feb	2	348	
1958	Mar	3	515	
1958	Apr	4	774	
1958	May	5	751	
1958	Jun	6	711	
1958	Jul	7	555	
1958	Aug	8	280	
1958	Sep	9	182	
1958	Oct	10	160	
1958	Nov	11	255	
1958	Dec	12	565	
1959	Jan	1	753	
1959	Feb	2	890	
1959	Mar	3	1183	
1959	Apr	4	1117	
1959	May	5	983	
1959	Jun	6	988	
1959	Jul	7	573	
1959	Aug	8	278	
1959	Sep	9	219	
1959	Oct	10	171	
1959	Nov	11	270	
1959	Dec	12	415	
1960	Jan	1	510	
1960	Feb	2	587	
1960	Mar	3	721	
1960	Apr	4	754	
1960	May	5	699	
1960	Jun	6	667	
1960	Jul	7	355	
1960	Aug	8	230	
1960	Sep	9	145	
1960	Oct	10	129	
1960	Nov	11	235	
1960	Dec	12	263	
1961	Jan	1	361	
1961	Feb	2	350	
1961	Mar	3	551	
1961	Apr	4	488	
1961	May	5	631	
1961	Jun	6	717	
1961	Jul	7	452	
1961	Aug	8	293	
1961	Sep	9	165	
1961	Oct	10	180	
1961	Nov	11	230	
1961	Dec	12	276	
1962	Jan	1	435	
1962	Feb	2	487	
1962	Mar	3	563	
1962	Apr	4	608	
1962	May	5	803	
1962	Jun	6	615	
1962	Jul	7	554	
1962	Aug	8	297	
1962	Sep	9	166	
1962	Oct	10	213	
1962	Nov	11	303	
1962	Dec	12	517	
1963	Jan	1	703	
1963	Feb	2	735	
1963	Mar	3	1037	
1963	Apr	4	1078	
1963	May	5	954	
1963	Jun	6	729	
1963	Jul	7	552	
1963	Aug	8	321	
1963	Sep	9	166	
1963	Oct	10	177	
1963	Nov	11	216	
1963	Dec	12	310	
1964	Jan	1	342	
1964	Feb	2	268	
1964	Mar	3	304	
1964	Apr	4	280	
1964	May	5	286	
1964	Jun	6	280	
1964	Jul	7	213	
1964	Aug	8	143	
1964	Sep	9	101	
1964	Oct	10	117	
1964	Nov	11	132	
1964	Dec	12	277	
1965	Jan	1	280	
1965	Feb	2	424	
1965	Mar	3	668	
1965	Apr	4	635	
1965	May	5	701	
1965	Jun	6	926	
1965	Jul	7	706	
1965	Aug	8	493	
1965	Sep	9	309	
1965	Oct	10	259	
1965	Nov	11	324	
1965	Dec	12	541	
1966	Jan	1	569	
1966	Feb	2	672	
1966	Mar	3	1020	
1966	Apr	4	848	
1966	May	5	754	
1966	Jun	6	765	
1966	Jul	7	437	
1966	Aug	8	255	
1966	Sep	9	166	
1966	Oct	10	130	
1966	Nov	11	165	
1966	Dec	12	166	
1967	Jan	1	235	
1967	Feb	2	261	
1967	Mar	3	390	
1967	Apr	4	424	
1967	May	5	500	
1967	Jun	6	440	
1967	Jul	7	294	
1967	Aug	8	167	
1967	Sep	9	126	
1967	Oct	10	124	
1967	Nov	11	162	
1967	Dec	12	182	
1968	Jan	1	274	
1968	Feb	2	349	
1968	Mar	3	420	
1968	Apr	4	607	
1968	May	5	572	
1968	Jun	6	496	
1968	Jul	7	415	
1968	Aug	8	240	
1968	Sep	9	158	
1968	Oct	10	124	
1968	Nov	11	135	
1968	Dec	12	100	
1969	Jan	1	164	
1969	Feb	2	148	
1969	Mar	3	298	
1969	Apr	4	506	
1969	May	5	567	
1969	Jun	6	639	
1969	Jul	7	447	
1969	Aug	8	283	
1969	Sep	9	158	
1969	Oct	10	223	
1969	Nov	11	212	
1969	Dec	12	333	
1970	Jan	1	330	
1970	Feb	2	281	
1970	Mar	3	354	
1970	Apr	4	527	
1970	May	5	463	
1970	Jun	6	429	
1970	Jul	7	300	
1970	Aug	8	147	
1970	Sep	9	104	
1970	Oct	10	90	
1970	Nov	11	77	
1970	Dec	12	122	
1971	Jan	1	146	
1971	Feb	2	149	
1971	Mar	3	248	
1971	Apr	4	300	
1971	May	5	223	
1971	Jun	6	294	
1971	Jul	7	235	
1971	Aug	8	110	
1971	Sep	9	88	
1971	Oct	10	68	
1971	Nov	11	88	
1971	Dec	12	132	
1972	Jan	1	149	
1972	Feb	2	157	
1972	Mar	3	219	
1972	Apr	4	221	
1972	May	5	264	
1972	Jun	6	298	
				
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
